YEAR,GAME_ID,CURRENT_ROUND,TEAM_A,TEAM_A_NO,SEED_A,SCORE_A,TEAM_B,TEAM_B_NO,SEED_B,SCORE_B,TARGET,KADJ EM_A,KADJ O_A,KADJ D_A,BADJ EM_A,BADJ O_A,BADJ D_A,BARTHAG_A,EFG%_A,EFG%D_A,TOV%_A,TOV%D_A,OREB%_A,DREB%_A,FTR_A,FTRD_A,ELITE SOS_A,WAB_A,EXP_A,TALENT_A,WIN%_A,KADJ EM_B,KADJ O_B,KADJ D_B,BADJ EM_B,BADJ O_B,BADJ D_B,BARTHAG_B,EFG%_B,EFG%D_B,TOV%_B,TOV%D_B,OREB%_B,DREB%_B,FTR_B,FTRD_B,ELITE SOS_B,WAB_B,EXP_B,TALENT_B,WIN%_B,KADJ EM_DIFF,KADJ O_DIFF,KADJ D_DIFF,BADJ EM_DIFF,BADJ O_DIFF,BADJ D_DIFF,BARTHAG_DIFF,EFG%_DIFF,EFG%D_DIFF,TOV%_DIFF,TOV%D_DIFF,OREB%_DIFF,DREB%_DIFF,ELITE SOS_DIFF,WAB_DIFF,WIN%_DIFF,TALENT_DIFF,EXP_DIFF,SEED_DIFF
2008,21,16,Michigan St.,35,5,74,Memphis,37,1,92,0,20.8814,115.444,94.5625,21.5,114.0,92.5,0.917,52.5,46.1,21.2,19.3,39.8,68.6,34.1,32.2,31.132,5.1,1.61,87.079,75.75758,29.3779,114.695,85.3169,29.5,113.3,83.8,0.97,53.0,42.5,17.2,23.3,37.8,70.7,38.6,32.7,20.888,8.9,1.605,82.995,97.05882,-8.496500000000001,0.7490000000000094,9.245599999999996,-8.0,0.7000000000000028,8.700000000000003,-0.052999999999999936,-0.5,3.6000000000000014,4.0,-4.0,2.0,-2.1000000000000085,10.244,-3.8000000000000007,-21.301239999999993,4.083999999999989,0.0050000000000001155,4
2008,23,16,Davidson,51,10,73,Wisconsin,2,3,56,1,20.5532,114.056,93.5027,18.8,110.8,92.0,0.895,54.4,48.4,17.7,24.1,32.6,72.4,25.4,37.7,17.709,1.5,1.996,18.502,80.64516,27.4107,113.619,86.2081,27.3,112.2,84.9,0.961,50.6,43.1,19.4,22.2,36.2,71.5,39.3,25.4,28.584,8.3,1.939,82.1,87.87879,-6.857499999999998,0.4369999999999976,7.294600000000003,-8.5,-1.4000000000000057,7.099999999999994,-0.06599999999999995,3.799999999999997,5.299999999999997,-1.6999999999999993,1.9000000000000021,-3.6000000000000014,0.9000000000000057,-10.875,-6.800000000000001,-7.233629999999991,-63.598,0.05699999999999994,7
2008,25,16,Villanova,7,12,57,Kansas,43,1,72,0,12.9811,108.903,95.9216,12.7,107.7,95.0,0.809,49.0,51.3,20.4,23.9,36.9,68.6,38.4,45.9,29.494,0.3,0.994,61.386,62.5,33.9647,121.433,87.4681,35.4,121.0,85.6,0.982,56.3,44.8,18.7,22.9,38.0,71.0,37.5,30.8,30.29,9.9,2.047,89.633,90.90909,-20.983600000000003,-12.530000000000001,8.453499999999991,-22.7,-13.299999999999997,9.400000000000006,-0.17299999999999993,-7.299999999999997,6.5,1.6999999999999993,1.0,-1.1000000000000014,-2.4000000000000057,-0.7959999999999994,-9.6,-28.409090000000006,-28.246999999999993,-1.0530000000000002,11
2008,27,16,Tennessee,16,2,60,Louisville,39,3,79,0,22.3372,117.787,95.4494,24.1,116.3,92.2,0.935,52.8,49.2,17.7,24.6,37.0,65.7,36.8,39.4,31.749,9.2,1.716,57.614,87.5,23.198,111.828,88.6299,22.9,110.3,87.4,0.936,52.0,43.8,19.6,21.4,33.4,69.3,36.4,33.2,30.593,4.7,1.617,83.94,75.0,-0.8608000000000011,5.959000000000003,6.819499999999991,1.2000000000000028,6.0,4.799999999999997,-0.0010000000000000009,0.7999999999999972,5.400000000000006,-1.9000000000000021,3.200000000000003,3.6000000000000014,-3.5999999999999943,1.1559999999999988,4.499999999999999,12.5,-26.326,0.09899999999999998,-1
2008,29,16,Washington St.,6,4,47,North Carolina,31,1,68,0,23.9044,116.272,92.3676,22.5,114.2,91.7,0.926,54.4,47.7,17.2,22.2,28.1,69.9,39.8,28.8,31.951,4.9,2.39,24.685,75.0,28.1446,120.686,92.5415,28.4,120.2,91.8,0.957,52.4,48.0,19.0,21.2,42.4,71.3,39.1,25.5,31.561,11.9,1.595,90.906,94.11765,-4.2402000000000015,-4.4140000000000015,-0.17390000000000327,-5.899999999999999,-6.0,-0.09999999999999432,-0.030999999999999917,2.0,-0.29999999999999716,-1.8000000000000007,1.0,-14.299999999999997,-1.3999999999999915,0.39000000000000057,-7.0,-19.117649999999998,-66.221,0.7950000000000002,3
2008,31,32,Duke,49,2,67,West Virginia,5,7,73,0,27.6285,117.443,89.8149,28.4,117.2,88.8,0.961,54.1,47.6,18.2,24.9,34.3,66.5,40.4,32.0,34.065,8.9,1.23,95.074,84.375,20.14,113.57,93.4302,20.9,113.1,92.2,0.913,51.6,47.7,16.3,23.3,34.1,68.6,37.1,38.9,29.445,2.6,1.679,46.742,69.69697,7.488499999999998,3.8730000000000047,-3.615300000000005,7.5,4.1000000000000085,-3.4000000000000057,0.04799999999999993,2.5,-0.10000000000000142,1.8999999999999986,1.5999999999999979,0.19999999999999574,-2.0999999999999943,4.619999999999997,6.300000000000001,14.678030000000007,48.332,-0.44900000000000007,-5
2008,33,32,Xavier,1,3,85,Purdue,24,6,78,1,22.3453,116.413,94.068,22.9,115.2,92.3,0.928,55.0,46.8,20.3,20.0,36.5,70.5,41.7,31.5,23.372,4.7,2.038,13.33,81.81818,18.089,109.692,91.6027,18.5,108.7,90.2,0.895,49.0,48.9,19.4,26.6,32.8,69.0,37.6,42.4,28.915,3.8,0.848,66.368,75.0,4.256300000000003,6.721000000000004,2.465299999999999,4.399999999999999,6.5,2.0999999999999943,0.03300000000000003,6.0,-2.1000000000000014,0.9000000000000021,-6.600000000000001,3.700000000000003,1.5,-5.542999999999999,0.9000000000000004,6.818179999999998,-53.038,1.19,-3
2008,35,32,San Diego,21,13,63,Western Kentucky,4,12,72,0,4.53284,101.501,96.9684,3.9,98.6,94.7,0.614,49.3,48.9,21.5,22.7,32.2,69.9,36.0,33.5,20.325,-3.9,1.019,3.734,60.60606,14.0646,111.076,97.011,13.1,108.6,95.5,0.814,53.6,46.9,20.2,25.2,37.0,67.2,36.2,47.7,14.064,0.2,2.066,16.148,80.64516,-9.53176,-9.574999999999989,-0.04259999999999309,-9.2,-10.0,-0.7999999999999972,-0.19999999999999996,-4.300000000000004,2.0,1.3000000000000007,-2.5,-4.799999999999997,2.700000000000003,6.260999999999999,-4.1,-20.039100000000005,-12.414,-1.047,1
2008,37,32,Texas A&M,14,9,49,UCLA,13,1,51,0,19.6026,112.029,92.4268,21.3,112.5,91.2,0.918,51.9,44.6,19.1,17.3,35.1,71.8,42.7,26.8,31.167,3.1,1.611,61.214,69.69697,30.5753,118.735,88.16,29.5,116.4,86.9,0.967,52.3,48.0,18.8,22.7,39.2,74.1,38.0,25.7,32.362,10.8,1.491,78.469,90.90909,-10.9727,-6.706000000000003,4.2668000000000035,-8.2,-3.9000000000000057,4.299999999999997,-0.04899999999999993,-0.3999999999999986,-3.3999999999999986,0.3000000000000007,-5.399999999999999,-4.100000000000001,-2.299999999999997,-1.1950000000000003,-7.700000000000001,-21.212120000000013,-17.254999999999995,0.11999999999999988,8
2008,39,32,Texas,15,2,75,Miami FL,36,7,72,1,24.8513,119.757,94.9061,25.8,120.0,94.2,0.942,51.4,46.1,14.1,18.5,36.1,66.3,32.6,29.7,34.791,8.4,1.229,81.767,81.81818,14.3957,112.167,97.7713,15.3,110.7,95.4,0.847,49.2,46.9,19.1,20.7,35.4,65.8,39.4,35.3,28.829,1.6,1.832,42.138,67.74194,10.455599999999999,7.590000000000003,-2.8652000000000015,10.5,9.299999999999997,-1.2000000000000028,0.09499999999999997,2.1999999999999957,-0.7999999999999972,-5.000000000000002,-2.1999999999999993,0.7000000000000028,0.5,5.961999999999996,6.800000000000001,14.076239999999999,39.629,-0.603,-5
